gene,sander,lof_z,ios,exac,pNull,pRec,miss_z,zhang,krish,n_syn,mu_lof,mu_mis,mu_syn,bp,DF,EC,AS,CE,core,Hub
EID1,-1.738357897,-0.392133632,-0.082342902,0.743142956,-0.497240592,-0.437829368,-0.341684578,1.274270992,0.458382515,-0.691326501,-0.847653136,-0.659340679,-0.5614292,-0.677421763,-0.036954906,0.605143558,0.857581478,0.624550224,0.682540917,0.265772784
DND1,0.471421702,-0.001715758,0.650302509,0.900214506,-0.578836298,-0.548378436,0.872096883,0.488752501,-0.55789686,-0.486615203,-0.484652208,-0.222283456,-0.127830589,-0.406678691,-0.028624767,-0.079594437,-0.075025666,0.495948331,0.45819336,-0.058696134
NFKBIA,0.337755943,0.47838174,-0.864782614,1.558887954,-0.590693238,-1.265072709,0.175541186,0.272292097,0.166278264,-0.249581069,-0.393394991,-0.46480013,-0.4223504,-0.465394056,0.282201868,-0.034369165,0.062860854,0.326652873,1.027190563,-0.091171279
OXCT1,0.52837008,0.689081058,-0.559817117,-0.180007026,-0.590593145,0.650906137,1.044584816,1.354407254,0.458382515,-0.217258233,0.088578308,-0.248643964,-0.359239012,-0.134304636,-0.373165277,-0.135144773,-0.124280142,-0.263135395,-0.700882631,-0.117385764
LIN7B,0.343757497,0.19286667,-0.503764085,1.215698378,-0.588476742,-0.888616947,0.313913344,0.503025176,-0.052799925,-0.637455106,-0.346076435,-0.53122861,-0.5415608,-0.644802116,0.63378082,-0.134870718,-0.124097002,-0.238527759,1.754800329,-0.117051023
ADAMTS19,-0.136271318,1.694578587,-0.363552778,1.491983807,-0.590753996,-1.19130564,1.036425612,-0.12696804,0.318415895,0.396875659,1.454056659,1.021932524,0.936881902,0.986180247,-0.020197794,-0.134521704,-0.123982944,-0.236506163,0.382625628,-0.116528926
EVL,0.486352609,0.847093133,-0.738722336,1.591281751,-0.590753006,-1.300720933,0.23126187,0.212636128,0.470553526,-0.217258233,-0.175053651,-0.306637081,-0.271584306,-0.300664837,0.08636272,-0.118942569,-0.111328788,-0.196463527,0.299580797,-0.097428292
FOS,0.392607682,-0.04137744,-0.641338065,0.231112844,-0.56627727,0.179268287,0.387877543,1.335308711,1.085189555,-0.357323857,-0.52588695,-0.369902301,-0.234184965,-0.362642167,1.757064259,-0.13430202,-0.124272492,-0.200798631,0.845288121,-0.115966861
EPB41L1,-0.053511658,0.954877509,-0.956301786,0.743218481,-0.590746235,-0.366261065,0.825665196,0.645881448,1.87021973,0.461521332,0.298131916,0.594892294,0.551201197,0.454479997,-0.245363599,-0.131971247,-0.118505094,-0.13466265,0.208629576,-0.117229885
VPS29,0.151445601,0.211200795,-0.257272449,1.449939584,-0.589690495,-1.145792835,0.312173042,0.290073647,-0.935198184,-0.777520731,-0.596188806,-0.809595575,-0.834911881,-0.679052745,-0.373165277,-0.133634111,-0.122770507,-0.252684303,-0.246126527,-0.117385764
ZFHX4,0.572327484,2.538207217,-1.709120777,1.609317146,-0.590753996,-1.320593039,-0.539126827,0.601307692,2.357060149,4.458778771,2.812775216,4.411313927,4.559943067,4.91521676,-0.291213266,-0.134665207,-0.124314452,-0.262004797,-0.700882631,-0.11736558
PAX5,-3.445667422,0.5345129,-0.840771133,1.570835956,-0.590722704,-1.278215321,1.420465451,-0.407394269,0.46446802,-0.174161118,-0.421786125,-0.222283456,-0.133674236,-0.344701361,-0.373165277,-0.135097488,-0.124178372,-0.238979542,-0.337077748,-0.117385764
ZBTB5,-0.21116646,0.125290407,-1.268982448,1.117070719,-0.586559405,-0.781410184,-0.163227701,0.838270697,0.391441957,0.127518689,-0.4718086,0.014961117,-0.162892471,0.121759595,-0.373165277,-0.135075342,-0.124022354,-0.262070646,-0.700882631,-0.117385764
TET1,0.138008374,1.89841117,-0.46656597,1.608251382,-0.590753996,-1.319418694,-0.715034575,0.695327765,0.202791295,2.239277336,1.636571092,1.86019668,1.626432252,2.501362862,-0.082203139,-0.086714829,-0.058208538,-0.101364827,-0.074594981,-0.09377704
ACE2,0.45557442,1.178404993,-0.14115135,1.607047495,-0.59075399,-1.318092158,0.069534763,0.2786684,-0.137996998,-0.486615203,0.521205112,-0.011399391,-0.144192801,0.330525337,-0.360153496,-0.135141159,-0.12428617,-0.251406516,-0.428028969,-0.117385764
LEF1,0.424473833,0.588358203,-0.093955012,1.536375745,-0.590723266,-1.240243812,0.467759893,0.125441844,1.139959102,-0.271129627,-0.379199424,-0.390990707,-0.26457193,-0.331653502,-0.043621558,-0.133385107,-0.124306083,-0.215038936,0.026727135,-0.113985468
PSMD13,0.342398674,0.869362266,-0.05474938,1.593474861,-0.590753277,-1.303137275,0.065287324,0.287843348,1.651141542,-0.3357753,-0.107455713,-0.422623317,-0.439881341,-0.365904132,2.818369573,0.339251398,0.389037773,1.219553052,2.300507653,0.325987585
DST,0.41595019,4.939994698,0.412746294,1.609318021,-0.590753996,-1.320594002,-0.438792833,0.541250231,1.328609764,5.794789344,8.389605114,5.769618185,4.805376243,7.451394334,-0.105477709,-0.135090578,-0.124170026,-0.25668815,0.481483239,-0.117359285
DLST,0.38311128,0.670771396,-1.323559364,1.488160787,-0.590731941,-1.187110024,-0.346860848,0.598147551,-0.235365082,-0.23880679,-0.256171177,-0.280276573,-0.397807082,-0.243580454,0.259071193,0.121746238,0.028267244,0.329199084,0.572434459,0.231139807
LMNB1,0.267967286,0.680642203,-1.109089598,1.494178151,-0.59073461,-1.193738414,0.372251428,0.209755912,-0.910856163,-0.292678184,-0.073656744,0.088770539,0.066178493,-0.0266598,0.895844063,-0.115606052,-0.120430597,-0.151143916,0.481483239,-0.082655912
CIT,0.123462669,3.036517152,-1.602840449,1.609314941,-0.590753996,-1.320590611,1.940982659,-0.728462913,0.841769345,2.691797046,3.319759752,2.608835108,2.47960472,2.392087044,-0.061903634,-0.135005894,-0.124314452,-0.253784377,-0.064224086,-0.117078502
THAP1,0.207954933,0.092303901,-0.400239172,1.363051851,-0.587543801,-1.051697859,0.286334332,0.370009635,-0.582238881,-0.712875058,-0.654999012,-0.735258942,-0.746088446,-0.635016222,-0.218142588,-0.11335192,-0.082951642,-0.171513662,-0.064224086,-0.110053058
ZSWIM4,0.548781166,0.580360047,-0.967323449,-0.428101949,-0.590315354,0.924064566,1.724959406,1.19496353,0.026311643,1.032558109,0.271092741,1.396251738,1.626432252,0.630626092,-0.054053128,-0.124851547,-0.112032002,-0.20531662,-0.305207985,-0.110720542
STK32C,0.481648269,0.327114393,-0.897060344,-0.076628601,-0.588006463,0.535013412,1.411521855,1.049276091,-0.503127312,0.084421574,-0.073656744,0.167852063,0.492764727,-0.189758037,-0.369948161,-0.135156788,-0.124314452,-0.263339171,-0.700882631,-0.117383608
GLI2,0.517780761,1.428043636,-1.719355179,1.606728118,-0.590753996,-1.317740237,0.772360552,-0.106575964,0.202791295,2.357794403,0.696959751,2.545569889,3.297715306,1.604322563,0.034634833,-0.074378721,-0.122666187,-0.100459793,0.481483239,0.00761343
COPS5,0.31282321,0.731695803,-0.661806869,1.595493114,-0.590751447,-1.305362552,1.441519782,-0.452789634,2.150152971,-0.540486597,-0.29672994,-0.577623104,-0.58012887,-0.437667356,0.743261314,-0.127244345,-0.124290111,-0.127459483,0.66338568,-0.106633651
DUSP4,0.359563971,-0.218006081,-0.5208083,0.483552916,-0.538919633,-0.119854294,1.097987598,0.717584971,0.391441957,-0.260355348,-0.682038187,-0.027215696,0.13045861,-0.339808414,1.561592077,0.016448493,-0.021248428,0.116459977,1.481946666,0.081861432
SKIL,-0.051448597,0.458654927,-1.059236252,0.288647892,-0.589891696,0.133966777,-0.435916077,1.706726532,0.434040494,-0.001772657,-0.039857775,-0.206467151,-0.294958895,0.133176471,1.920727441,-0.08044844,-0.120821892,-0.004186548,0.936239342,-0.013253389
GRK6,0.521138989,0.672088438,-1.176400473,-0.225292652,-0.590564346,0.700783594,1.491172442,1.137889324,-0.472699786,0.289132871,0.16293604,0.241661486,0.294080727,-0.021766853,-0.336258246,-0.134998984,-0.123825304,-0.260532611,-0.518980189,-0.117376596
NR5A2,-0.02118038,0.878261009,-1.113754124,1.509388577,-0.590751243,-1.210485753,0.447501783,0.151920153,1.298182238,0.041324459,0.196735009,-0.217011354,-0.279765412,-0.100054007,-0.296831613,-0.132367209,-0.120229977,-0.22659633,-0.246126527,-0.115991842
TMEM131,0.567755581,2.502553298,-1.6711354,1.609316755,-0.590753996,-1.320592608,-0.280177617,0.4500185,-0.211023061,1.65746628,2.204393772,1.791659359,1.860178134,2.088724325,-0.373165277,-0.131492,-0.1164599,-0.249775585,-0.700882631,-0.117385764
MLF2,0.29101147,0.37938254,-0.99285041,1.417554258,-0.590406305,-1.109559443,0.958689128,-0.039289971,3.105577294,-0.626680828,-0.401506744,-0.470072231,-0.668952305,-0.577931839,-0.170810091,-0.135056917,-0.124253251,-0.254710872,-0.337077748,-0.117344546
MPHOSPH8,-3.111199703,0.948640737,0.037616098,1.438943679,-0.590751861,-1.132863369,-0.120357835,0.515497604,-0.17451003,0.407649938,0.237293772,0.178396267,0.294080727,0.420229367,-0.335906324,-0.13513735,-0.124314452,-0.262933045,-0.700882631,-0.117356786
MYEF2,0.489333449,1.266964337,-0.594220453,1.608078037,-0.590753995,-1.319227691,0.308422223,0.13684837,1.334695269,-0.486615203,0.189975215,-0.085208814,-0.216654024,-0.003826047,1.161469436,0.136396128,-0.105514121,0.166584886,0.481483239,0.281337577
MPP2,0.475604275,0.148695942,-1.346134093,-0.826752996,-0.579889077,1.355341189,1.058607445,1.900487471,3.975804543,0.127518689,-0.053377362,0.15730786,0.095396728,-0.082113201,1.781501111,-0.133595135,-0.124140353,-0.204080187,0.66338568,-0.115419784
POFUT1,0.394351537,0.58244643,-0.425943266,1.578998559,-0.590736577,-1.287198915,-0.476064602,0.578990477,-0.594409891,-0.260355348,-0.371087672,-0.332997589,-0.245872259,-0.349594308,-0.137000153,-0.132377077,-0.124228677,-0.246692518,-0.337077748,-0.109357121
FYTTD1,-0.474308564,0.399146285,0.069952872,1.191675966,-0.590208454,-0.860820121,-0.450680438,0.909178365,-0.563982365,-0.551260876,-0.303489734,-0.485888536,-0.601166,-0.463763074,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
PKD1,0.585245893,2.565788871,0.178437533,1.609086806,-0.590753996,-1.320339145,-0.911882163,0.78299774,1.413806837,11.42973716,4.04305769,9.820226572,11.78047022,6.035701643,-0.108189945,-0.133495923,-0.124314452,-0.219522611,-0.064224086,-0.114288858
RS1,0.296673657,0.074700415,-0.167603343,1.347769949,-0.587007566,-1.035269979,0.385373994,0.324949966,1.766766141,-0.723649337,-0.595512826,-0.617691076,-0.642071529,-0.617075416,-0.140291744,-0.135035657,-0.124135948,-0.255844847,-0.323999599,-0.117346544
HECA,0.452042947,-0.146423678,-1.346488361,0.015284316,-0.543430276,0.399578498,1.339182195,1.001095423,0.099337706,0.041324459,-0.517775198,0.246933588,0.597950373,-0.096792042,-0.339514116,-0.134925638,-0.123737211,-0.259508589,-0.60993141,-0.117385761
RAC2,-0.24362436,0.023194739,-1.009933988,1.299362056,-0.584946744,-0.983509346,1.35662623,-0.149027653,-0.387502713,-0.572809434,-0.709077363,-0.639833903,-0.59999727,-0.669266851,0.562208508,-0.134718356,-0.124031627,-0.199239748,0.754336901,-0.117130961
GXYLT1,-0.161566128,0.753752003,-0.552101952,1.578747224,-0.590750379,-1.286911386,-0.348773674,0.509978425,-0.81348808,-0.411195251,-0.087176331,-0.275004472,-0.217822754,-0.264783225,0.293047679,0.068351761,-0.029705791,0.362790415,0.248867306,0.1295069
RAB8A,0.283869142,0.344257258,-0.964705804,1.516822781,-0.590481111,-1.218884306,0.810827429,-0.052151763,-0.004115883,-0.60513227,-0.592808909,-0.645106005,-0.609347105,-0.644802116,0.049586262,-0.130236455,-0.124314452,-0.245261087,-0.155175306,-0.105549564
RNF185,0.421465043,-0.041313,0.147301333,0.826280988,-0.574701597,-0.470080884,-0.176582202,1.086309566,-0.05888543,-0.680552222,-0.644859321,-0.751075247,-0.754269552,-0.669266851,-0.222138186,-0.132809146,-0.124314452,-0.234714563,-0.518980189,-0.112648776
USO1,0.538292192,1.077780703,0.78584929,1.409072466,-0.590753343,-1.099947692,-0.845400948,0.924327843,-2.706080209,0.159841526,0.778077277,0.236389384,0.095396728,0.60126841,0.327550399,-0.101180132,-0.093924452,0.198310059,0.845288121,-0.082499858
ARRB2,0.403794989,0.526977733,-0.456193797,1.045820837,-0.590498671,-0.699882806,1.317535725,0.095615846,0.038482654,-0.228032512,-0.202092826,-0.23809976,-0.218991483,-0.281093049,0.312940944,-0.070367899,-0.088715609,0.41493216,1.390995446,-0.045900026
TWSG1,0.250438458,0.067432173,-0.15532206,1.341273421,-0.586763613,-1.028298411,-0.188894205,0.634465281,-1.330756025,-0.669777943,-0.694881796,-0.720497058,-0.764788117,-0.618706398,-0.348703055,-0.135157577,-0.124314337,-0.263535251,-0.60993141,-0.117385755
RPS24,0.130728037,-0.024253278,-0.462550935,1.249908424,-0.582214172,-0.931111235,0.556148507,0.31825722,-1.488979161,-0.712875058,-0.542786435,-0.603456402,-0.611684564,-0.511061562,12.06928464,14.8515137,6.450782243,9.259049174,5.483800378,19.91757636
DIP2A,-6.525951004,1.574817371,-1.64088487,0.940349636,-0.590753991,-0.583470342,0.890872794,0.414595683,-0.448357765,2.142308827,1.467576246,2.113257557,2.502979309,1.579857827,-0.342845112,-0.13511361,-0.124314452,-0.262675119,-0.60993141,-0.117384365
ESRRG,0.520627393,0.428770685,-1.37532182,1.454498915,-0.590552406,-1.150156355,1.247913631,-0.233070166,3.720213323,-0.195709675,-0.283210352,-0.280276573,-0.318333483,-0.215853754,-0.357934506,-0.135117685,-0.124273651,-0.259916582,-0.337077748,-0.117337801
NFATC2,0.538004265,1.344806611,-1.705282876,1.607488758,-0.590753996,-1.318578373,0.724823802,-0.09091015,-0.05888543,1.323463637,0.555004081,0.905946289,1.380999077,0.526243221,0.357682659,-0.134980914,-0.124285242,-0.240687509,0.208629576,-0.117053521
PTGES3,0.105234176,0.255576768,-0.141544981,1.295145371,-0.589505074,-0.975370102,0.322239245,0.400507868,2.046699382,-0.809843567,-0.525210971,-0.837010503,-0.867636305,-0.721458287,-0.195557182,-0.127216282,-0.11651672,-0.161762133,0.390532018,-0.108088227
PARD6A,0.323501008,0.222345729,-0.457118829,1.254525892,-0.589030043,-0.930976271,0.991062708,0.080709206,0.586178125,-0.357323857,-0.458964991,-0.195922948,-0.263403201,-0.418095567,0.105731596,-0.134982331,-0.12430307,-0.248774178,0.208629576,-0.117125965
FGFR2,0.498049693,1.494805377,-1.710990524,1.608713516,-0.590753996,-1.31992791,1.109715601,-0.297197857,3.440280082,0.730878303,0.527964906,0.326015112,0.364204492,0.358252037,0.344892796,-0.13498552,-0.12410697,-0.243502234,0.390532018,-0.117199158
RGS8,-0.27040421,0.049157142,1.297490663,0.437832552,-0.57783746,-0.03965395,0.106782096,1.275158207,0.342757916,-0.680552222,-0.540082517,-0.757928979,-0.785825246,-0.659480957,-0.301896779,-0.135026268,-0.124181849,-0.257162762,-0.392353898,-0.117276848
POGK,-0.194669906,0.567123023,0.524399683,1.407282863,-0.590673571,-1.098037017,1.73858746,-0.455507037,0.245389832,-0.109515445,-0.114215507,0.051865828,-0.016801295,0.010852794,0.891955269,0.230454766,0.285746578,0.949283661,1.208894731,0.158753766
MAP7D1,0.491497449,0.952465062,-1.185060351,1.544800534,-0.590753069,-1.249504115,0.279860984,0.198324969,2.010186351,0.321455708,0.622602019,1.006116219,0.843383549,0.389240702,-0.373165277,-0.134918552,-0.124013081,-0.258061013,-0.428028969,-0.117385764
PTPN9,0.501161411,0.902287446,-1.350975753,1.575817482,-0.590753083,-1.283681078,0.527823183,0.038528802,0.829598335,-0.195709675,0.014220576,-0.095753017,-0.229510048,-0.015242924,-0.280464367,-0.135152462,-0.124314452,-0.263009995,-0.60993141,-0.117383346
TBC1D22A,0.509552949,0.699566251,0.009609264,1.504999307,-0.59073886,-1.20565878,0.398579092,0.169723423,-1.002138742,0.235261477,-0.141254682,0.030777422,0.165520492,-0.139197583,-0.087229418,-0.135045224,-0.124177908,-0.254159752,-0.064224086,-0.1172741
SMG6,0.565723662,1.893891029,-0.760017765,1.609159598,-0.590753996,-1.320419343,-0.508081474,0.559514266,0.178449274,1.679014838,1.305341195,1.580775294,1.240751548,1.331948508,-0.373165277,-0.130078335,-0.119381155,-0.240603776,-0.155175306,-0.117385764
YPEL4,0.15590988,-0.121675852,-0.216138026,1.134410248,-0.572912755,-0.810973345,0.712918161,0.331014983,0.689631714,-0.820617846,-0.758423857,-0.79483369,-0.808031105,-0.775280705,-0.318340779,-0.134273674,-0.123120561,-0.201210671,-0.428028969,-0.117385454
ORAI2,0.350726279,-0.507002973,-1.023809476,-0.011078921,-0.37842166,0.302184849,0.931046883,1.231917353,0.841769345,-0.432743809,-0.81047427,-0.480616434,-0.450399906,-0.568145945,-0.321930913,-0.134867174,-0.124314452,-0.257108569,-0.60993141,-0.117018548
RNF44,0.393019096,0.335683161,-0.743445906,0.554040833,-0.588938319,-0.159195143,-0.409372314,1.44167107,2.247521055,0.03055018,-0.060137156,-0.148474033,-0.019138754,-0.277831084,-0.207785083,-0.113125982,-0.093870924,-0.104182345,0.214140311,-0.108022452
DGKB,0.530964094,1.126366893,-1.319564011,0.801415264,-0.590752739,-0.430382264,0.083282901,0.957802029,1.547687953,0.138292968,0.81863604,0.083498438,-0.055369366,0.328894355,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
PCLO,0.582076058,3.85936021,-1.133829297,1.609318021,-0.590753996,-1.320594002,-3.068013804,1.914505496,3.823666912,6.225760497,5.638369031,5.746368217,4.898874595,7.404095846,-0.335361337,-0.135144224,-0.124284083,-0.262630944,-0.518980189,-0.117376371
KATNB1,0.526310049,0.856993329,-1.146622299,0.38015453,-0.590727481,0.033777744,0.387618914,1.166629721,0.239304327,0.461521332,0.338690679,0.410368737,0.527826609,0.085877983,-0.365333603,-0.135109889,-0.124314452,-0.26209433,-0.700882631,-0.117363281
PVRL3,0.396419983,0.275033138,-0.721048311,0.95881866,-0.588846022,-0.605283167,-0.311692507,1.02358776,1.407721332,-0.228032512,-0.330528909,-0.264460268,-0.287946518,-0.087006148,-0.314820555,-0.134675837,-0.124314452,-0.258734427,-0.428028969,-0.116623853
KCNA1,0.468052914,-0.523060411,-1.014067112,-0.706537051,-0.286294776,0.997901946,2.393424585,1.061747926,2.898670116,0.105970132,-0.615116229,0.041321625,0.177207786,-0.175079195,-0.373165277,-0.13493804,-0.124008445,-0.253531297,-0.064224086,-0.117385764
PES1,0.471322501,0.794633296,-0.787965555,0.766976318,-0.590718911,-0.392460423,-0.110469862,1.08467778,-0.728291006,0.105970132,0.250813359,0.088770539,0.074359598,-0.023397835,4.885495973,3.370664318,2.626799085,4.301831046,3.300971081,4.095067363
DPYSL3,0.455046538,0.816751072,-1.043825604,1.600728618,-0.590753199,-1.311130112,0.789164396,-0.134631103,1.261669207,-0.044869772,-0.148014476,0.273294096,0.294080727,0.133176471,-0.373165277,-0.135139299,-0.124223809,-0.263527129,-0.700882631,-0.117385764
PHACTR3,0.476311494,0.941081595,-1.12123311,1.540231305,-0.590752897,-1.244469488,-0.030772872,0.354369875,0.470553526,0.170615804,0.203494803,0.020233218,0.13045861,-0.070696324,-0.373165277,-0.122287271,-0.115009033,-0.22450129,-0.700882631,-0.117385764
MAGEE1,0.515928666,-0.015017249,-0.18964667,0.875631985,-0.577562974,-0.522267284,0.139192351,0.853643463,0.044568159,0.267584314,-0.215612414,0.705606427,0.808321667,0.578434656,-0.34565517,-0.134899064,-0.123890215,-0.255759575,-0.428028969,-0.117385541
SREK1IP1,0.126255327,-0.07120627,0.346911535,0.769181459,-0.570827599,-0.410132558,-0.516192168,1.296662459,-0.807402574,-0.809843567,-0.627959837,-0.870751953,-0.912048022,-0.729613199,0.283934105,0.135725207,-0.111389503,0.175907717,0.117678356,0.373522988
ADD1,0.538148269,0.762473283,-0.724197358,0.659965593,-0.590702018,-0.274560166,-0.163541963,1.206048547,-0.089312956,0.21371292,0.122377277,0.252205689,0.340829903,0.27017899,0.14067161,-0.132722601,-0.120255014,-0.211325049,1.572897887,-0.116264131
SORT1,0.465250582,1.531590841,-0.483688911,1.609138653,-0.590753996,-1.320396468,0.461729665,0.029842432,-0.332733166,0.062873016,0.494165937,0.399824534,0.399266374,0.372930879,0.263784515,-0.132021491,-0.119056022,-0.065068554,0.845288121,-0.117206653
HOXA11,0.464334793,0.000926319,-0.99285041,1.276728211,-0.583779452,-0.959464104,1.57529453,-0.267622324,0.403612968,-0.378872415,-0.683390146,-0.206467151,-0.014463837,-0.471917985,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
EXOC6B,-1.21492894,1.12444887,-0.944827447,0.7942932,-0.590752704,-0.42253444,0.341736774,0.816775286,-0.338818671,0.052098737,0.967351504,0.162579962,0.000729646,0.340311231,-0.35733729,-0.134991544,-0.124234009,-0.262084355,-0.60993141,-0.117357286
LBR,0.437202126,1.285517322,-1.129637128,1.602052514,-0.590753992,-1.31258828,-0.869483254,0.743461045,0.866111366,-0.195709675,0.507685524,-0.053576204,-0.187435789,0.020638688,0.253303253,-0.122900702,-0.106592355,-0.202498076,0.117678356,-0.111848844
SNRNP40,-1.193396071,0.393735329,-0.7438789,1.182789802,-0.590176154,-0.851053468,0.567780392,0.350952151,-0.801317069,-0.400420973,-0.39542293,-0.506976942,-0.522861129,-0.400154761,2.055921467,2.247862947,3.124121872,5.823661612,6.120458923,1.149517353
ANKRD13D,0.499270807,0.715023919,-1.598845096,1.571554685,-0.590747956,-1.278987939,0.403675859,0.092077251,-0.204937556,0.105970132,-0.006058806,0.2891104,0.282393433,0.004328865,-0.363881316,-0.135033,-0.124314452,-0.25930812,-0.700882631,-0.117253366
PDE7A,0.422944112,0.412784495,-0.896725757,-0.363978872,-0.589131878,0.852501646,0.323663838,1.853919291,-0.630922922,-0.281903906,-0.06689695,-0.306637081,-0.416506753,-0.196281966,-0.036820828,-0.127198194,-0.122183994,-0.209439598,-0.340955726,-0.105383567
RAX,0.334346348,-0.049699147,0.917243266,1.221504843,-0.580327621,-0.90125949,1.071138446,0.047208926,0.567921609,-0.443518088,-0.556306022,0.020233218,0.457702844,-0.418095567,-0.373165277,-0.13515023,-0.124297645,-0.261615016,-0.700882631,-0.117385764
FXR2,0.463824602,1.504526469,-0.938922984,1.608756541,-0.590753996,-1.319975318,0.975561367,-0.246218913,1.237327186,-0.012546935,0.784837071,0.257477791,-0.058875554,0.115235665,-0.215437274,-0.08039359,-0.036923175,0.053671315,0.481483239,-0.104213972
PEX26,0.455890768,-0.041085249,1.670849519,0.231754116,-0.566325034,0.178598282,-0.509558834,1.766843793,-0.417930239,-0.486615203,-0.502903651,-0.454255926,-0.4422188,-0.484965844,-0.323619508,-0.135152497,-0.124313576,-0.263183845,-0.428028969,-0.117368752
CSRNP1,0.435750658,0.130634765,-1.014657558,0.631223089,-0.583915761,-0.248089695,-0.131571905,1.210341035,-0.44227226,-0.120289724,-0.341344579,0.02550532,-0.160555013,-0.021766853,0.742010358,-0.131972186,-0.123964399,-0.098040863,0.131503851,-0.112089234
VAPB,0.260604131,0.039041283,-0.476367378,0.97362638,-0.582102517,-0.626766816,0.15845328,0.751510552,0.342757916,-0.680552222,-0.596864785,-0.667248831,-0.692326893,-0.586086751,0.671469888,-0.133839621,-0.124314452,-0.212568165,0.481483239,-0.115831965
EBF3,0.49820826,1.115534325,-1.169944927,1.605874308,-0.590753979,-1.316799454,2.381278156,-0.993075651,1.237327186,0.202938641,0.061539132,0.210028876,0.481077432,-0.083744183,-0.162992977,-0.134434893,-0.124010763,-0.256379694,-0.246126527,-0.116846181
UCHL5,0.087837761,0.540216888,-0.651729919,1.074674502,-0.590534143,-0.731648719,0.544904096,0.455232305,-0.947369195,-0.572809434,-0.168293857,-0.613473395,-0.636227882,-0.445822268,0.27649749,-0.096845897,-0.08391058,0.134368142,1.754800329,-0.091161712
ILKAP,0.388766644,0.679796227,-1.001431562,1.591019262,-0.590748939,-1.300434823,1.120790235,-0.310226484,-0.588324386,-0.217258233,-0.368383754,-0.290820776,-0.26457193,-0.343070379,-0.282246355,-0.131064591,-0.123637527,-0.247884149,-0.428028969,-0.10842709
PRKAR2A,-0.38434465,0.700138359,-0.840436546,1.56840967,-0.590746621,-1.275523507,0.177590454,0.211523481,-0.643093933,-0.486615203,-0.195333033,-0.332997589,-0.3627452,-0.32349859,0.875057528,0.000461207,-0.020390658,0.134772131,0.845288121,0.058724294
PRRT3,0.482150752,0.416269437,1.432742221,0.774071494,-0.589921472,-0.400889613,0.764146701,0.604398041,0.074995685,0.353778544,0.129137071,1.180095572,1.649806841,0.617578233,-0.280668792,-0.134736073,-0.123880942,-0.247309488,-0.179218171,-0.117293336
AJAP1,0.447074041,0.46100413,-0.367095455,1.554591187,-0.590679541,-1.260348596,0.37630085,0.117213433,3.093406283,-0.131064002,-0.423814064,-0.085208814,0.033454069,-0.312081714,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
LRRTM4,0.539093535,0.292013504,-0.239755877,0.994008803,-0.589132815,-0.643838722,0.801738313,0.388559533,1.212985165,-0.066418329,-0.303489734,-0.174834541,-0.269246848,-0.020135871,0.025079687,-0.085833968,-0.077165652,0.385694216,0.400607594,-0.065687879
P4HA1,0.420585253,0.72219524,-0.657083299,1.062412191,-0.590706584,-0.718005134,0.549119606,0.460607581,-0.68569247,-0.314226742,-0.006058806,-0.275004472,-0.443387529,-0.111470883,0.45377065,-0.130564031,-0.118821255,-0.113844027,0.754336901,-0.114829515
METTL16,-1.162957809,1.013409715,-0.334168235,1.602697772,-0.590753911,-1.313299342,1.023070261,-0.271943339,-1.123848847,-0.174161118,0.07505872,-0.164290338,-0.180423413,-0.065803377,0.244646534,0.054840682,0.065645263,0.353541427,0.455864099,0.068384076
POLD3,0.360985077,0.979331609,-0.19679107,1.588299557,-0.590753705,-1.297434376,-0.624052908,0.616706456,-0.576153375,-0.42196953,0.095338102,-0.448983825,-0.459749741,-0.222377684,0.436623176,-0.111189878,-0.100273032,-0.17978997,0.299580797,-0.09404888
CBFA2T3,0.483034116,0.454768424,-1.643128566,0.276856891,-0.589859382,0.146934321,-0.534745199,1.733888915,0.245389832,0.967912436,0.108857689,0.64761331,0.878445431,0.082616018,0.320563012,-0.122680664,-0.116154519,-0.173341956,0.117678356,-0.105915531
STRADB,0.446391522,0.427019424,0.56685277,0.802436088,-0.590007562,-0.432077992,0.587772897,0.6692425,-0.661350449,-0.594357991,-0.29672994,-0.522793247,-0.591816164,-0.300664837,-0.368176806,-0.132919501,-0.120787419,-0.142351414,0.026727135,-0.117366779
RND1,0.279230611,0.366592637,-0.175928635,1.525377739,-0.590539762,-1.22826609,0.34911277,0.15258299,0.403612968,-0.615906549,-0.518451177,-0.632980171,-0.644408988,-0.604027557,-0.352992738,-0.13494867,-0.124254873,-0.259656191,-0.518980189,-0.11738436
SLC4A10,0.509574904,0.924925447,-1.349676771,-0.826618575,-0.59073619,1.363505044,0.9483934,1.923076182,0.823512829,0.418424217,1.055228823,0.48417816,0.270706139,0.841022817,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
SLMAP,0.303060259,1.612686458,-1.529625112,1.607671775,-0.590753996,-1.318780035,0.366158781,0.070033798,-0.551811354,0.041324459,0.832155628,0.125675251,-0.006282731,0.340311231,-0.017311284,-0.134953985,-0.124314452,-0.258297023,-0.246126527,-0.11702854
